Byte,Time(s)
0,26.9171
1,26.8226
2,26.8958
3,26.819
4,26.7992
5,26.7305
6,26.7579
7,26.7483
8,26.7625
9,26.7682
10,26.8526
11,26.9146
12,26.796
13,26.9201
14,26.867
15,26.7892
TOTAL,441.7687
AVERAGE,27.6105
