Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,1,2,8,15,2,120,340282366920938463463374607431768211456,128,2,128
2,3,2,24,13,2,104,340282366920938463463374607431768211456,128,2,128
5,4,2,32,12,2,96,340282366920938463463374607431768211456,128,2,128
10,5,2,40,11,2,88,340282366920938463463374607431768211456,128,2,128
50,9,2,72,7,2,56,340282366920938463463374607431768211456,128,2,128
100,14,2,112,2,2,16,340282366920938463463374607431768211456,128,2,128
256,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
