Byte,Time(s)
0,24.2688
1,23.9657
2,23.9579
3,23.937
4,24.0236
5,23.8924
6,23.7166
7,23.7747
8,23.7672
9,23.8589
10,23.7521
11,23.7302
12,23.737
13,23.7111
14,23.729
15,23.6114
TOTAL,391.7917
AVERAGE,24.487
