Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,185,2.6635151069196636,18,1
1,160,2.61675848355776,254,2
2,121,2.7169069739478613,194,2
3,198,2.6074084336743732,16,1
4,191,2.639195991927079,2,1
5,64,2.747737818588976,3,1
6,182,2.687365762846158,39,1
7,175,2.5877543835652133,0,1
8,25,2.6674881745265178,10,1
9,102,2.5595189354264427,3,1
10,79,2.6770450243840433,10,1
11,218,2.774327841683199,25,1
12,118,2.632780427233071,11,1
13,130,2.652468256895128,1,1
14,177,2.717575862725268,48,1
15,60,2.6847776042400286,16,1
