Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,1,1,1,15,2,120,1329227995784915872903807060280344577,120.0,2,128
2,4,2,4,12,2,96,79228162514264337593543950352,100.0,2,128
3,4,3,4,12,2,96,79228162514264337593543950417,102.33985000288462,2,128
4,4,4,4,12,2,96,79228162514264337593543950592,104.0,2,128
5,4,5,4,12,2,96,79228162514264337593543950961,105.28771237954945,2,128
10,5,10,5,11,2,88,309485009821345068724881056,104.60964047443682,2,128
20,6,20,6,10,2,80,1208925819614629238706176,105.93156856932418,2,128
25,6,25,6,10,2,80,1208925819614629418846801,107.86313713864834,2,128
30,7,30,7,9,2,72,4722366482891515213696,106.34823416925963,2,128
50,10,50,10,6,2,48,97937724976710656,104.43856189774723,2,128
100,13,100,13,3,2,24,100000000000000000016777216,110.37013046707142,2,128
