Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,0,1,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128
2,0,2,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128
3,0,3,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128
4,0,4,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128
5,0,5,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128
10,1,10,1,15,2,120,1329227995784915872903807060280344586,123.32192809488737,2,128
20,2,20,2,14,2,112,5192296858534827628530496329220496,120.64385618977472,2,128
25,2,25,2,14,2,112,5192296858534827628530496329220721,121.28771237954945,2,128
30,5,30,5,11,2,88,309485009821345068749081056,112.5344529780426,2,128
50,6,50,6,10,2,80,1208925819614644799706176,113.86313713864834,2,128
100,9,100,9,7,2,56,1072057594037927936,115.79470570797253,2,128
