Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,185,28.386691931897964,18,1
1,160,27.64088152609619,1,1
2,239,28.945896407204227,194,2
3,198,27.528987149291964,16,1
4,191,27.747563533750448,2,1
5,64,29.185933525095212,3,1
6,182,28.38286151125298,33,1
7,175,27.403086067654776,27,1
8,25,28.094730826850768,10,1
9,255,27.118217214066007,3,1
10,79,28.217940064164914,10,1
11,218,29.68321869249358,25,1
12,118,27.782886148945714,11,1
13,130,28.11657375883026,1,1
14,177,28.33757607981664,8,1
15,60,28.33596736917983,16,1
