Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,Total Complexity 
5,5,5,5,11,2,88,309485009821345068724784181,99.60964047443682,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
10,7,10,7,9,2,72,4722366482869655213696,95.25349666421154,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
20,8,20,8,8,2,64,18446744099309551616,98.5754247590989,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
25,8,25,8,8,2,64,18446744226297442241,101.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
30,10,30,10,6,2,48,871964976710656,97.0689059560852,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
50,11,50,11,5,2,40,4882813599511627776,102.08241808752196,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
100,11,100,11,5,2,40,10000000001099511627776,113.08241808752196,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
1,6,1,6,10,2,80,1208925819614629174706177,80.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
2,7,2,7,9,2,72,4722366482869645213824,79.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
3,8,3,8,8,2,64,18446744073709558177,76.67970000576925,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
4,9,4,9,7,2,56,72057594038190080,74.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
5,9,5,9,7,2,56,72057594039881061,76.89735285398626,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
10,13,10,13,3,2,24,10000016777216,67.18506523353571,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662088,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662088,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,
1,3,1,3,13,2,104,20282409603651670423947251286017,104.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
2,4,2,4,12,2,96,79228162514264337593543950352,100.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
3,5,3,5,11,2,88,309485009821345068724781299,95.92481250360578,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
4,5,4,5,11,2,88,309485009821345068724782080,98.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
5,5,5,5,11,2,88,309485009821345068724784181,99.60964047443682,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
10,7,10,7,9,2,72,4722366482869655213696,95.25349666421154,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
20,8,20,8,8,2,64,18446744099309551616,98.5754247590989,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
25,8,25,8,8,2,64,18446744226297442241,101.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
30,10,30,10,6,2,48,871964976710656,97.0689059560852,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
50,11,50,11,5,2,40,4882813599511627776,102.08241808752196,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
100,11,100,11,5,2,40,10000000001099511627776,113.08241808752196,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,
1,6,1,6,10,2,80,1208925819614629174706177,80.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
2,7,2,7,9,2,72,4722366482869645213824,79.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
3,8,3,8,8,2,64,18446744073709558177,76.67970000576925,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
4,9,4,9,7,2,56,72057594038190080,74.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
5,9,5,9,7,2,56,72057594039881061,76.89735285398626,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
10,12,10,12,4,2,32,1004294967296,71.86313713864834,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
25,14,25,14,2,2,16,37252902984619206161,81.01398665684614,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662088,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662088,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,
1,2,1,2,14,2,112,,112.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,5192296858534827628530496329220097
2,5,2,5,11,2,88,,93.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,309485009821345068724781088
3,6,3,6,10,2,80,,89.50977500432694,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,1208925819614629174706905
4,6,4,6,10,2,80,,92.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,1208925819614629174710272
5,6,5,6,10,2,80,,93.93156856932416,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,1208925819614629174721801
10,10,10,10,6,2,48,,81.21928094887363,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,281484976710656
20,13,20,13,3,2,24,,80.18506523353571,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,81920000016777216
25,13,25,13,3,2,24,,84.37013046707142,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,1490116119401542841
30,13,30,13,3,2,24,,87.78957774291075,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,15943230000016777216
50,15,50,15,1,2,8,,92.65784284662088,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,30517578125000000000000256
100,15,100,15,1,2,8,,107.65784284662088,2,128,attack_SubBytes/data/attack_byte_correlation/df/200/statistical_results.csv,200,1000000000000000000000000000256
1,16,1,16,0,2,0,,0.0,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,2
2,16,2,16,0,2,0,,16.0,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,65537
3,16,3,16,0,2,0,,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,43046722
4,16,4,16,0,2,0,,32.0,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,4294967297
5,16,5,16,0,2,0,,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,152587890626
10,16,10,16,0,2,0,,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,10000000000000001
20,16,20,16,0,2,0,,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,655360000000000000001
25,16,25,16,0,2,0,,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,23283064365386962890626
30,16,30,16,0,2,0,,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/200/statistical_results.csv,200,100000000000000000000000000000001
1,7,1,7,9,2,72,4722366482869645213697,72.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
2,9,2,9,7,2,56,72057594037928448,65.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
3,10,3,10,6,2,48,281474976769705,63.84962500721156,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
4,10,4,10,6,2,48,281474977759232,68.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
5,10,5,10,6,2,48,281474986476281,71.21928094887362,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
10,12,10,12,4,2,32,1004294967296,71.86313713864834,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
20,12,20,12,4,2,32,4096004294967296,83.86313713864836,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
25,12,25,12,4,2,32,59604649070357921,87.7262742772967,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
30,12,30,12,4,2,32,531441004294967296,90.88268714730222,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
50,12,50,12,4,2,32,244140625004294967296,99.7262742772967,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
100,13,100,13,3,2,24,100000000000000000016777216,110.37013046707142,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,
1,13,1,13,3,2,24,16777217,24.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
2,14,2,14,2,2,16,81920,30.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
3,14,3,14,2,2,16,4848505,38.18947501009619,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
4,14,4,14,2,2,16,268500992,44.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
5,14,5,14,2,2,16,6103581161,48.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
10,15,10,15,1,2,8,1000000000000256,57.82892142331043,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,
1,7,1,7,9,2,72,4722366482869645213697,72.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
2,8,2,8,8,2,64,18446744073709551872,72.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
3,9,3,9,7,2,56,72057594037947619,70.26466250649041,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
4,9,4,9,7,2,56,72057594038190080,74.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
5,9,5,9,7,2,56,72057594039881061,76.89735285398626,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
10,13,10,13,3,2,24,10000016777216,67.18506523353571,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
20,13,20,13,3,2,24,81920000016777216,80.18506523353571,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
25,13,25,13,3,2,24,1490116119401542841,84.37013046707142,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
30,13,30,13,3,2,24,15943230000016777216,87.78957774291075,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
50,13,50,13,3,2,24,12207031250000016777216,97.37013046707142,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
100,14,100,14,2,2,16,10000000000000000000000065536,109.01398665684614,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,
1,13,1,13,3,2,24,16777217,24.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
2,14,2,14,2,2,16,81920,30.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
3,14,3,14,2,2,16,4848505,38.18947501009619,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
4,14,4,14,2,2,16,268500992,44.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
5,14,5,14,2,2,16,6103581161,48.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,
1,2,1,2,14,2,112,,112.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,5192296858534827628530496329220097
2,6,2,6,10,2,80,,86.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,1208925819614629174706240
3,7,3,7,9,2,72,,83.09473750504809,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,4722366482869645215883
4,8,4,8,8,2,64,,80.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,18446744073709617152
5,8,5,8,8,2,64,,82.5754247590989,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,18446744073709942241
10,10,10,10,6,2,48,,81.21928094887363,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,281484976710656
20,11,20,11,5,2,40,,87.54120904376099,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,205899511627776
25,12,25,12,4,2,32,,87.7262742772967,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,59604649070357921
30,13,30,13,3,2,24,,87.78957774291075,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,15943230000016777216
50,13,50,13,3,2,24,,97.37013046707142,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,12207031250000016777216
100,15,100,15,1,2,8,,107.65784284662088,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,1000000000000000000000000000256
1,16,1,16,0,2,0,,0.0,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,2
2,16,2,16,0,2,0,,16.0,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,65537
3,16,3,16,0,2,0,,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,43046722
4,16,4,16,0,2,0,,32.0,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,4294967297
5,16,5,16,0,2,0,,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,152587890626
10,16,10,16,0,2,0,,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,10000000000000001
20,16,20,16,0,2,0,,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,655360000000000000001
25,16,25,16,0,2,0,,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,23283064365386962890626
