Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,149,27.275327288086118,3,1
1,126,26.999709690600934,19,1
2,251,27.098874424859343,14,1
3,63,28.512464648946626,9,1
4,40,29.72042987759653,23,1
5,64,28.053232033507783,64,2
6,228,27.361520640772913,21,1
7,27,28.962869624781902,27,1
8,86,26.818704330898502,20,1
9,3,27.8679706579709,8,1
10,9,27.06110264014772,18,1
11,218,27.752975223370466,22,1
12,9,28.132924817111007,13,1
13,207,33.72965070104708,207,2
14,79,33.477924965975454,79,2
15,60,32.54926334654336,60,2
