Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,3,1,3,13,2,104,20282409603651670423947251286017,104.0,2,128
2,4,2,4,12,2,96,79228162514264337593543950352,100.0,2,128
3,5,3,5,11,2,88,309485009821345068724781299,95.92481250360578,2,128
4,5,4,5,11,2,88,309485009821345068724782080,98.0,2,128
5,5,5,5,11,2,88,309485009821345068724784181,99.60964047443682,2,128
10,7,10,7,9,2,72,4722366482869655213696,95.25349666421154,2,128
20,8,20,8,8,2,64,18446744099309551616,98.5754247590989,2,128
25,8,25,8,8,2,64,18446744226297442241,101.15084951819779,2,128
30,10,30,10,6,2,48,871964976710656,97.06890595608519,2,128
50,11,50,11,5,2,40,4882813599511627776,102.08241808752197,2,128
100,11,100,11,5,2,40,10000000001099511627776,113.08241808752197,2,128
