Byte,Time(s)
0,0.6755
1,0.6803
2,0.6719
3,0.6725
4,0.6802
5,0.686
6,0.6693
7,0.683
8,0.6695
9,0.6721
10,0.671
11,0.6749
12,0.6715
13,0.671
14,0.6763
15,0.6821
TOTAL,21.8064
AVERAGE,1.3629
