Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,192,27.434449121520146,42,1
1,126,31.833762428844953,126,2
2,21,27.903285821008332,21,1
3,22,32.074912277229046,15,1
4,40,32.44295444896096,40,2
5,174,30.807788999084043,174,2
6,210,31.886342978307972,5,1
7,166,30.718445149300162,166,2
8,171,30.747675419276284,6,1
9,247,32.158797882510775,247,3
10,21,31.663542109211384,21,2
11,136,32.55494349799158,98,2
12,9,36.929987447865386,9,4
13,207,40.83646085602235,207,4
14,79,41.02298419988945,79,5
15,60,42.13445362296122,60,3
