Byte,Time(s)
0,1.3178
1,1.3122
2,1.3111
3,1.3133
4,1.3094
5,1.3106
6,1.3158
7,1.3124
8,1.3215
9,1.314
10,1.3115
11,1.3256
12,1.3119
13,1.3109
14,1.2978
15,1.3343
TOTAL,33.4378
AVERAGE,2.0899
