Nm,Weighted Key Guess,Most Frequent Key Guess,Real Key,Total Time (s),Avg Time/Byte (s),Output Path,Weighted Correct Bytes,Weighted Incorrect Bytes,Most Frequent Correct Bytes,Most Frequent Incorrect Bytes
100,B9 A0 EF C6 BF 40 B6 AF 19 FF 4F DA 76 82 B1 3C,12 01 C2 10 02 03 21 1B 0A 03 0A 19 0B 01 08 10,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,33.3,2.08,data/attack_bit_mean/df/100,1,15,0,16
200,95 7E FB 3F 28 40 E4 1B 56 03 09 DA 09 CF 4F 3C,03 13 0E 09 17 40 15 1B 14 08 12 16 0D CF 4F 3C,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,43.35,2.71,data/attack_bit_mean/df/200,6,10,3,13
300,87 7E 0A 8A 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,17 7E 15 10 01 2F 05 1B 1E 07 15 65 09 CF 4F 3C,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,53.72,3.36,data/attack_bit_mean/df/300,13,3,7,9
400,C0 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,2A 7E 15 0F 28 AE 05 A6 06 F7 15 62 09 CF 4F 3C,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,63.21,3.95,data/attack_bit_mean/df/400,15,1,11,5
500,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,0F 7E 17 10 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,71.23,4.45,data/attack_bit_mean/df/500,16,0,13,3
1000,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,122.94,7.68,data/attack_bit_mean/df/1000,16,0,16,0
