Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,43,29.47920857922598,15,1
1,126,32.21334180729912,126,2
2,21,31.37187748270538,23,1
3,22,33.20231786037068,16,1
4,40,35.7027257378455,40,2
5,174,34.03690714216675,174,2
6,210,33.68617835142083,210,2
7,166,34.07870872981888,166,4
8,171,33.37818842586002,171,2
9,247,34.46525959567636,247,2
10,21,35.50961248172862,21,3
11,136,34.221590922397475,136,3
12,9,39.81127979758865,9,5
13,207,45.47046001921145,207,4
14,79,45.41737979112168,79,5
15,60,47.80432735815317,60,3
