Byte,Time(s)
0,27.2764
1,27.3728
2,27.3724
3,27.4208
4,27.4067
5,27.2929
6,27.3492
7,27.271
8,27.4171
9,27.2851
10,27.4346
11,27.3131
12,27.2607
13,27.4134
14,27.3526
15,27.3163
TOTAL,449.4336
AVERAGE,28.0896
