Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,135,1.5421899625770674,23,1
1,126,1.691459768573657,48,1
2,10,1.5695831324251208,21,1
3,63,1.5407844140926445,16,1
4,40,1.818005182678414,2,1
5,174,1.6977489736281213,47,1
6,210,1.6773079477340114,5,1
7,166,1.5965786566424902,27,1
8,171,1.612171146570366,30,1
9,247,1.6802272020584907,247,2
10,21,1.7240976727278647,21,3
11,136,1.647707922859615,101,2
12,9,1.8487099773122322,9,3
13,207,2.1167074976724187,207,4
14,79,2.0297791368192946,79,4
15,60,2.0692859060242554,60,3
