Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,2,1,2,14,2,112,5192296858534827628530496329220097,112.0,2,128
2,6,2,6,10,2,80,1208925819614629174706240,86.0,2,128
3,7,3,7,9,2,72,4722366482869645215883,83.09473750504809,2,128
4,13,4,13,3,2,24,83886080,50.0,2,128
5,13,5,13,3,2,24,1237480341,54.18506523353571,2,128
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662087,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
