Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,5,1,5,11,2,88,309485009821345068724781057,88.0,2,128
2,7,2,7,9,2,72,4722366482869645213824,79.0,2,128
3,10,3,10,6,2,48,281474976769705,63.84962500721156,2,128
4,12,4,12,4,2,32,4311744512,56.0,2,128
5,12,5,12,4,2,32,4539107921,59.86313713864835,2,128
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662087,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
