Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,10,1,10,6,2,48,281474976710657,48.0,2,128
2,11,2,11,5,2,40,1099511629824,51.0,2,128
3,11,3,11,5,2,40,1099511804923,57.43458750793272,2,128
4,12,4,12,4,2,32,4311744512,56.0,2,128
5,12,5,12,4,2,32,4539107921,59.86313713864835,2,128
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128
20,15,20,15,1,2,8,32768000000000000256,72.82892142331043,2,128
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128
50,16,50,16,0,2,0,1525878906250000000000000001,90.30169903639559,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
