Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,43,42.3453608870662,43,6
1,126,44.414275631371424,126,7
2,21,44.40722759971452,21,5
3,22,44.771545368905464,22,5
4,40,45.15693828186319,40,7
5,174,44.575985506321416,174,4
6,210,43.65656401637536,210,4
7,166,45.17615095820482,166,7
8,171,48.00472806819261,171,5
9,247,46.35439335110191,247,6
10,21,47.00708886563843,21,7
11,136,50.267405687062556,136,8
12,9,53.04155190569502,9,5
13,207,62.61428705760552,207,6
14,79,59.71454926757995,79,6
15,60,66.3596752026367,60,7
