Byte,Time(s)
0,3.8272
1,3.2004
2,3.1909
3,3.2111
4,3.2095
5,3.6679
6,3.1849
7,3.1822
8,3.1946
9,3.1805
10,3.6811
11,3.6672
12,3.1839
13,3.2139
14,3.6667
15,3.6765
TOTAL,70.6154
AVERAGE,4.4135
