Byte,Time(s)
0,31.8879
1,31.8603
2,31.8257
3,31.8584
4,31.8647
5,31.9562
6,31.9866
7,31.9163
8,31.9554
9,31.9393
10,31.9751
11,31.8195
12,31.7743
13,31.9039
14,31.8822
15,31.9444
TOTAL,527.0163
AVERAGE,32.9385
