Byte,Time(s)
0,27.6197
1,27.5392
2,27.5065
3,27.4243
4,27.4746
5,27.4227
6,27.4599
7,27.4957
8,27.5491
9,27.5739
10,27.5664
11,27.6217
12,27.5982
13,27.5809
14,27.5776
15,27.627
TOTAL,453.9105
AVERAGE,28.3694
