Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
2,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
5,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
10,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
50,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
100,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
256,16,2,128,0,2,0,340282366920938463463374607431768211456,128,2,128
