Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,43,1.30202984736487,15,1
1,126,1.4178071049335883,126,2
2,21,1.3832510149479331,23,1
3,22,1.4592128063293899,16,1
4,40,1.567654979079781,40,2
5,174,1.4952767322683465,174,2
6,210,1.478017179769809,210,2
7,166,1.4973023607880904,166,4
8,171,1.4685901960935492,171,2
9,247,1.5125330496100073,247,2
10,21,1.557748225094045,21,3
11,136,1.5039589547706675,136,3
12,9,1.732315764521362,9,5
13,207,1.9527660041272874,207,4
14,79,1.9641928763572967,79,5
15,60,2.0490894233150025,60,4
