Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,149,1.8780649714582545,3,1
1,126,1.861812887858136,19,1
2,248,1.8646568969024597,14,1
3,63,1.9575684217511409,9,1
4,40,2.038342404464707,23,1
5,64,1.9268009210593917,64,2
6,228,1.8860740642406506,21,1
7,27,1.9829302305319212,27,1
8,86,1.8474561213128573,20,1
9,3,1.9227362174431284,8,1
10,9,1.8706470534205752,18,1
11,218,1.9130391116594285,22,1
12,9,1.9341344629837913,13,1
13,207,2.2701627157917725,207,2
14,79,2.2695996011982342,79,2
15,60,2.226998937444338,60,2
