Byte,Time(s)
0,26.459
1,26.4045
2,26.4954
3,26.5352
4,26.5311
5,26.5635
6,26.7655
7,26.8359
8,26.7895
9,26.8265
10,26.7025
11,26.5126
12,26.5173
13,26.6276
14,26.6018
15,26.5442
TOTAL,436.8908
AVERAGE,27.3057
